file_path,input_deepth,vul_deepth
..\gpickle\Awesome-WiFi-CSI-Research_3.gpickle,4,2
..\gpickle\Awesome-WiFi-CSI-Research_4.gpickle,7,2
..\gpickle\Awesome-WiFi-CSI-Research_5.gpickle,8,3
..\gpickle\Awesome-WiFi-CSI-Research_6.gpickle,7,2
..\gpickle\Awesome-Windows-Debug_0.gpickle,9,5
..\gpickle\aws-iot-device-sdk-embedded-C_0.gpickle,24,26
..\gpickle\aws-iot-device-sdk-embedded-C_1.gpickle,21,26
..\gpickle\aws-iot-device-sdk-embedded-C_2.gpickle,21,22
..\gpickle\aws-iot-device-sdk-embedded-C_3.gpickle,24,28
..\gpickle\aws-iot-device-sdk-embedded-C_4.gpickle,21,22
..\gpickle\aws-iot-device-sdk-embedded-C_5.gpickle,24,25
..\gpickle\aws-iot-device-sdk-embedded-C_6.gpickle,24,22
..\gpickle\backdoor_mmap_tools_0.gpickle,8,7
..\gpickle\backdoor_mmap_tools_1.gpickle,5,6
..\gpickle\backdoor_mmap_tools_10.gpickle,6,5
..\gpickle\backdoor_mmap_tools_11.gpickle,5,4
..\gpickle\backdoor_mmap_tools_12.gpickle,14,5
..\gpickle\backdoor_mmap_tools_13.gpickle,3,6
..\gpickle\backdoor_mmap_tools_14.gpickle,15,10
..\gpickle\backdoor_mmap_tools_15.gpickle,3,4
..\gpickle\backdoor_mmap_tools_16.gpickle,4,6
..\gpickle\backdoor_mmap_tools_2.gpickle,4,6
..\gpickle\backdoor_mmap_tools_3.gpickle,3,6
..\gpickle\backdoor_mmap_tools_4.gpickle,4,6
..\gpickle\backdoor_mmap_tools_5.gpickle,4,3
..\gpickle\backdoor_mmap_tools_6.gpickle,3,3
..\gpickle\backdoor_mmap_tools_7.gpickle,8,6
..\gpickle\backdoor_mmap_tools_8.gpickle,3,6
..\gpickle\backdoor_mmap_tools_9.gpickle,12,9
..\gpickle\baidudl_0.gpickle,11,17
..\gpickle\baidudl_1.gpickle,3,4
..\gpickle\baidudl_2.gpickle,4,5
..\gpickle\baidudl_3.gpickle,3,3
..\gpickle\baidudl_4.gpickle,8,6
..\gpickle\bank_0.gpickle,13,11
..\gpickle\BareMetal-lwIP_0.gpickle,21,9
..\gpickle\BareMetal-lwIP_1.gpickle,11,12
..\gpickle\base64_0.gpickle,7,4
..\gpickle\base64_1.gpickle,1,1
..\gpickle\bashreduce_0.gpickle,4,2
..\gpickle\bashreduce_1.gpickle,5,3
..\gpickle\bashu-onlinejudge_0.gpickle,5,1
..\gpickle\bashu-onlinejudge_1.gpickle,2,1
..\gpickle\bashu-onlinejudge_10.gpickle,2,0
..\gpickle\bashu-onlinejudge_11.gpickle,7,3
..\gpickle\bashu-onlinejudge_12.gpickle,0,0
..\gpickle\bashu-onlinejudge_13.gpickle,4,3
..\gpickle\bashu-onlinejudge_14.gpickle,1,0
..\gpickle\bashu-onlinejudge_2.gpickle,17,4
..\gpickle\bashu-onlinejudge_3.gpickle,6,3
..\gpickle\bashu-onlinejudge_4.gpickle,0,0
..\gpickle\bashu-onlinejudge_5.gpickle,2,3
..\gpickle\bashu-onlinejudge_6.gpickle,2,2
..\gpickle\bashu-onlinejudge_7.gpickle,0,0
..\gpickle\bashu-onlinejudge_8.gpickle,13,12
..\gpickle\bashu-onlinejudge_9.gpickle,0,0
..\gpickle\BasicHook_0.gpickle,51,7
..\gpickle\bcal_0.gpickle,20,15
..\gpickle\bdsync_0.gpickle,21,12
..\gpickle\beaglebot_0.gpickle,5,3
..\gpickle\BeagleLogic_0.gpickle,3,3
..\gpickle\BeagleLogic_1.gpickle,0,0
..\gpickle\BeagleLogic_2.gpickle,7,3
..\gpickle\BeagleLogic_3.gpickle,0,0
..\gpickle\beansdb_0.gpickle,38,28
..\gpickle\beansdb_1.gpickle,38,39
..\gpickle\beanstalk-client_0.gpickle,1,1
..\gpickle\beanstalk-client_1.gpickle,14,5
..\gpickle\beanstalk-client_2.gpickle,14,5
..\gpickle\beanstalk-client_3.gpickle,14,6
..\gpickle\beanstalk-client_4.gpickle,14,7
..\gpickle\bedrocklinux-userland_0.gpickle,8,3
..\gpickle\bedrocklinux-userland_1.gpickle,13,4
..\gpickle\bedrocklinux-userland_2.gpickle,6,3
..\gpickle\bedrocklinux-userland_3.gpickle,6,0
..\gpickle\Befungell_0.gpickle,19,4
..\gpickle\Beleth_0.gpickle,13,8
..\gpickle\bemenu_0.gpickle,13,10
..\gpickle\bemenu_1.gpickle,13,10
..\gpickle\beru_0.gpickle,18,5
..\gpickle\beru_1.gpickle,18,9
..\gpickle\BetterSpades_0.gpickle,54,21
..\gpickle\bfs_0.gpickle,18,23
..\gpickle\bgs_0.gpickle,4,3
..\gpickle\bgt_0.gpickle,22,9
..\gpickle\bgt_1.gpickle,68,20
..\gpickle\bicon_0.gpickle,11,11
..\gpickle\bicon_1.gpickle,11,9
..\gpickle\bicon_2.gpickle,11,9
..\gpickle\bicon_3.gpickle,1,2
..\gpickle\bicon_4.gpickle,6,6
..\gpickle\binarybook_0.gpickle,4,8
..\gpickle\binarybook_1.gpickle,0,0
..\gpickle\binarybook_10.gpickle,7,3
..\gpickle\binarybook_11.gpickle,7,8
..\gpickle\binarybook_12.gpickle,0,0
..\gpickle\binarybook_13.gpickle,8,10
..\gpickle\binarybook_14.gpickle,2,1
..\gpickle\binarybook_15.gpickle,6,2
..\gpickle\binarybook_16.gpickle,9,10
..\gpickle\binarybook_17.gpickle,0,0
..\gpickle\binarybook_18.gpickle,0,0
..\gpickle\binarybook_19.gpickle,8,10
..\gpickle\binarybook_2.gpickle,0,0
